review_stars,reveiw_buy_site,review_name,review_date,review_title,review_text
평점5,담은 Damun,eppn****,23.04.25.,오! 맛있습니다.탄산이 거의 함유되어 있지 않다는 제품설명을 읽고 궁금했는데 오자마자 조금 맛을 보니 탄산에 익숙했다보니 살짝 낯설다가 마시면서 깊은 맛을 느꼈습니다. 흔,"오! 맛있습니다.
탄산이 거의 함유되어 있지 않다는 제품설명을 읽고 궁금했는데 오자마자 조금 맛을 보니 탄산에 익숙했다보니 살짝 낯설다가 마시면서 깊은 맛을 느꼈습니다. 흔들어도 펑 터질 일도 없지만 흔들 필요도 없게 균질한 상태이고 그래도 맑은 액체는 아니라 위아래로 한두번 움직여준 게 다입니다.
처음에는 살짝 단 맛이라고 느껴지는데 단맛이라기 보다 은은하고 부드러운 느낌입니다. 맛있습니다.
누워서 온 것을 보고 처음에 경악한 건 재미있는 에피소드입니다. 안 새고 샐 일도 없네요."
평점5,담은 Damun,cbru****,23.04.25.,맛조아요. 일반 막걸리보다는 느린마을같은 질감에 좀더부드럽고 탄산없는 맛이요,맛조아요. 일반 막걸리보다는 느린마을같은 질감에 좀더부드럽고 탄산없는 맛이요
평점5,담은 Damun,senn****,23.04.24.,맛있어요 ㅠㅠ 아주 구웃,맛있어요 ㅠㅠ 아주 구웃
평점3,담은 Damun,gaga****,23.04.24.,탄산감하고 신맛 적은건 좋은데 역시 막걸리는 막걸리네요,탄산감하고 신맛 적은건 좋은데 역시 막걸리는 막걸리네요
평점5,담은 Damun,ekth****,23.04.23.,주류박람회에서 수십가지 술을 마셔보다 이거 마셔보고 와 이거다 해서 구매했었는데 그게 또 맛있어서 재구매했어요! 우유처럼뽀얀데 맛도 부드럽더라구요근데 주류박람회에서 구매한거보단 덜,"주류박람회에서 수십가지 술을 마셔보다 이거 마셔보고 와 이거다 해서 구매했었는데 그게 또 맛있어서 재구매했어요! 우유처럼뽀얀데 맛도 부드럽더라구요
근데 주류박람회에서 구매한거보단 덜부드러운거같은데 혹시 저의 보관의 차이일까요"
평점5,담은 Damun,pin_****,23.04.23.,추천받아 사봤는데 너무 맛있네요 ! 시큼한거 안좋아하는데 부드러운 맛과 크리미한 목넘김이 너무 좋아요포장도 넘 예뻐서 담에 선물용으로 사도 좋을거같어요 ㅎㅎ,"추천받아 사봤는데 너무 맛있네요 ! 시큼한거 안좋아하는데 부드러운 맛과 크리미한 목넘김이 너무 좋아요
포장도 넘 예뻐서 담에 선물용으로 사도 좋을거같어요 ㅎㅎ"
평점5,담은 Damun,koho****,23.04.23.,돈이 없어 못먹는 정말 맛있는 막걸리,돈이 없어 못먹는 정말 맛있는 막걸리
평점5,담은 Damun,song****,23.04.22.,너무 맛나서 또 재구매합니다,너무 맛나서 또 재구매합니다
평점5,담은 Damun,sefa****,23.04.21.,맛있게 잘 먹었습니다. 사업 번창하세요,맛있게 잘 먹었습니다. 사업 번창하세요
평점5,담은 Damun,ding****,23.04.21.,초보자에게 막걸리의 신세계를 맛보여주고 싶을때 항상 추천하는 막걸리라 친구에게 선물용으로 사서 보냈습니다.,초보자에게 막걸리의 신세계를 맛보여주고 싶을때 항상 추천하는 막걸리라 친구에게 선물용으로 사서 보냈습니다.
평점5,담은 Damun,soar****,23.04.21.,부드럽고 좋아요 재구매의사 잇음,부드럽고 좋아요 재구매의사 잇음
평점5,담은 Damun,kuku****,23.04.21.,너무 맛있었어요 추천합니다,너무 맛있었어요 추천합니다
평점5,담은 Damun,kaso****,23.04.20.,부드러운 목 넘김 이네요~~,부드러운 목 넘김 이네요~~
평점5,담은 Damun,tjsv****,23.04.19.,선물로 줬는데 진하고 부드러워서 좋았다고 합니다 !!,선물로 줬는데 진하고 부드러워서 좋았다고 합니다 !!
평점5,담은 Damun,krf0****,23.04.19.,모유투버때매 바이럴빔맞고 사봤는데 진짜 개맛있음,모유투버때매 바이럴빔맞고 사봤는데 진짜 개맛있음
평점4,담은 Damun,kmg6****,23.04.19.,맛있게 먹을게요 담에 또 먹겠습니다,맛있게 먹을게요 담에 또 먹겠습니다
평점5,담은 Damun,your****,23.04.18.,남편이랑 먹고 맛있어서 부모님댁에도 선물로 보내드렸습니다?,남편이랑 먹고 맛있어서 부모님댁에도 선물로 보내드렸습니다?
평점5,담은 Damun,cher****,23.04.18.,부드럽고 구름위를 걷는 기분이 듭니다,부드럽고 구름위를 걷는 기분이 듭니다
평점5,담은 Damun,kui1****,23.04.17.,탄산이 없음 근ㄷㅔ 맛있음,탄산이 없음 근ㄷㅔ 맛있음
평점5,담은 Damun,kkd9****,23.04.17.,막걸리 좋아하지 않는데 평이 좋아서 구매해봤습니다.맛있었습니다.,"막걸리 좋아하지 않는데 평이 좋아서 구매해봤습니다.
맛있었습니다."
평점4,담은 Damun,kimh****,23.04.16.,선물용으로 구매했는데 선물박스나 그런 구성이 있으면 더 좋을거 같지만 생막걸리라서 힘들겠죠??그래도 좋아하셨어요,"선물용으로 구매했는데 선물박스나 그런 구성이 있으면 더 좋을거 같지만 생막걸리라서 힘들겠죠??
그래도 좋아하셨어요"
평점4,담은 Damun,aeh1****,23.04.16.,왜인기있는지 잘모르겠어요~~,왜인기있는지 잘모르겠어요~~
평점5,담은 Damun,cde_****,23.04.16.,배송빠르고 너무 맛있어요.,배송빠르고 너무 맛있어요.
평점5,담은 Damun,3188****,23.04.16.,구름막걸리 맛있어요,구름막걸리 맛있어요
평점5,담은 Damun,my9m****,23.04.15.,약간 시큼한맛이 있는데 색도 이쁘고 맛있습니다,약간 시큼한맛이 있는데 색도 이쁘고 맛있습니다
평점5,담은 Damun,dmst****,23.04.14.,제가 지금까지 먹었던 막걸리 중에 최고로 맛있어요! 바로 또 주문해서 먹고 있습니다맛있는 막걸리 먹을수 있게 해주셔서 감사합니다. 막걸리 안좋아했었던 지인들도 담은 막걸리는 맛있다,"제가 지금까지 먹었던 막걸리 중에 최고로 맛있어요! 바로 또 주문해서 먹고 있습니다
맛있는 막걸리 먹을수 있게 해주셔서 감사합니다. 막걸리 안좋아했었던 지인들도 담은 막걸리는 맛있다면서 다들 좋아했어요:)"
평점5,담은 Damun,reco****,23.04.14.,잘 받았습니다 기대됩니다 내일 마실려고 냉장고에 구속시켰어요,잘 받았습니다 기대됩니다 내일 마실려고 냉장고에 구속시켰어요
평점5,담은 Damun,kims****,23.04.13.,비싸긴해도 이거 맛있네요 ㅋㅋ,비싸긴해도 이거 맛있네요 ㅋㅋ
평점5,담은 Damun,ksy9****,23.04.12.,서울리빙디자인페어에서 시음해보고 못사온거 후회하면서 주문했어요! 엄청 크리미하고 탄산이 거의 없는 편이라 목넘김이 너무 좋아요! 완전 취저~ 페퍼로니 피자랑 같이 먹었는데 꽤 잘,서울리빙디자인페어에서 시음해보고 못사온거 후회하면서 주문했어요! 엄청 크리미하고 탄산이 거의 없는 편이라 목넘김이 너무 좋아요! 완전 취저~ 페퍼로니 피자랑 같이 먹었는데 꽤 잘 어울렸어요 :-)저뿐만 아니라 남자친구도 담은 막걸리에 반해버렸습니다?? 흑미도 기다리고 있으니 어서 출시되길????
평점5,담은 Damun,pete****,23.04.12.,오랫만에 주문해봤는데 여전히 담은은 담은이고 정말 맛있네요. 달지 않으면서 풍부한 쌀발효주의 풍미 ?,오랫만에 주문해봤는데 여전히 담은은 담은이고 정말 맛있네요. 달지 않으면서 풍부한 쌀발효주의 풍미 ?
평점5,담은 Damun,dudq****,23.04.12.,예전에 먹엇던 막걸리 너무 맛있어요 다,예전에 먹엇던 막걸리 너무 맛있어요 다
